City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Port Elizabeth,ZA,2021-02-04 00:05:02,-33.918,25.5701,68.0,94,0,10.36
190,Severo-Kurilsk,RU,2021-02-04 00:05:04,50.6789,156.125,10.87,92,100,32.12
191,Kavaratti,IN,2021-02-04 00:05:04,10.5669,72.642,81.25,64,83,7.29
192,La Rioja,ES,2021-02-04 00:05:04,42.25,-2.5,48.2,100,75,1.14
193,Alofi,NU,2021-02-04 00:03:19,-19.0595,-169.9187,80.6,89,90,10.36
194,Noumea,NC,2021-02-04 00:05:04,-22.2763,166.4572,82.99,99,48,10.85
195,Volnovakha,UA,2021-02-04 00:05:05,47.601,37.4967,41.27,99,85,7.47
196,Pryazha,RU,2021-02-04 00:01:45,61.6926,33.6216,15.8,92,100,6.71
197,Deputatskiy,RU,2021-02-04 00:05:05,69.3,139.9,-25.49,88,99,2.13
198,Naron,ES,2021-02-04 00:05:05,43.5167,-8.1528,53.01,87,20,12.66
199,Awjilah,LY,2021-02-04 00:05:05,29.1081,21.2869,54.84,88,0,10.87
200,Manta,EC,2021-02-04 00:02:07,-0.95,-80.7333,78.8,83,75,9.22
201,Grindavik,IS,2021-02-04 00:05:06,63.8424,-22.4338,35.6,75,0,24.16
202,Kuldiga,LV,2021-02-04 00:05:06,56.974,21.9572,14.0,100,20,1.14
203,Virginia Beach,US,2021-02-04 00:03:02,36.8529,-75.978,41.0,64,40,16.96
204,Vanimo,PG,2021-02-04 00:05:06,-2.6741,141.3028,76.24,90,100,2.28
205,Tuatapere,NZ,2021-02-04 00:05:07,-46.1333,167.6833,62.73,47,20,7.96
206,Danville,US,2021-02-04 00:00:36,36.586,-79.395,42.8,24,1,11.5
207,Algiers,DZ,2021-02-04 00:03:46,36.7525,3.042,61.21,47,100,3.96
208,Galveston,US,2021-02-04 00:05:07,29.3669,-94.9669,61.0,77,1,13.8
209,Acapulco,MX,2021-02-04 00:00:39,16.8634,-99.8901,82.4,69,20,8.05
210,Porto Walter,BR,2021-02-04 00:05:08,-8.2686,-72.7439,75.36,96,97,3.15
211,Moussoro,TD,2021-02-04 00:00:26,13.6408,16.4901,70.93,20,15,12.53
212,Camacha,PT,2021-02-04 00:05:08,33.0833,-16.3333,57.2,72,20,9.22
213,Vanavara,RU,2021-02-04 00:05:08,60.34,102.2797,-14.15,89,100,2.73
214,Fortuna,US,2021-02-04 00:05:08,40.5982,-124.1573,52.0,66,1,10.36
215,Nuuk,GL,2021-02-04 00:00:30,64.1835,-51.7216,6.8,66,20,6.91
216,Coihaique,CL,2021-02-04 00:05:09,-45.5752,-72.0662,78.8,44,0,2.3
217,Hasaki,JP,2021-02-04 00:05:09,35.7333,140.8333,39.2,48,20,4.61
218,Ust-Nera,RU,2021-02-04 00:05:09,64.5667,143.2,-19.28,79,97,4.27
219,Tura,IN,2021-02-04 00:05:09,25.5198,90.2201,57.2,61,0,2.91
220,Mayo,US,2021-02-04 00:05:09,38.8876,-76.5119,39.2,56,75,5.75
221,Mataram,ID,2021-02-04 00:05:09,-8.5833,116.1167,75.2,100,75,3.44
222,Comodoro Rivadavia,AR,2021-02-04 00:05:10,-45.8667,-67.5,66.2,59,0,11.5
223,Olafsvik,IS,2021-02-04 00:05:10,64.8945,-23.7142,36.59,79,100,27.38
224,Nizhniy Odes,RU,2021-02-04 00:05:10,63.6445,54.856,-0.33,93,97,3.78
225,Sobolevo,RU,2021-02-04 00:05:10,54.4299,31.8996,30.02,99,99,7.54
226,Brandon,US,2021-02-04 00:03:27,27.9378,-82.2859,53.01,43,1,3.44
227,Yongan,CN,2021-02-04 00:05:11,39.6957,113.6871,17.69,68,0,5.86
228,Kahului,US,2021-02-04 00:02:51,20.8947,-156.47,77.0,65,90,27.63
229,Havre-Saint-Pierre,CA,2021-02-04 00:05:11,50.2334,-63.5986,26.6,93,90,17.27
230,Saldanha,ZA,2021-02-04 00:02:40,-33.0117,17.9442,62.6,82,0,5.75
231,Bay Roberts,CA,2021-02-04 00:05:12,47.5999,-53.2648,48.2,100,90,17.27
232,Koshurnikovo,RU,2021-02-04 00:05:12,54.1667,93.3,20.59,98,100,3.38
233,Lumphat,KH,2021-02-04 00:05:12,13.4878,106.9816,67.8,68,74,7.0
234,Manono,CD,2021-02-04 00:05:13,-7.3,27.4167,69.24,95,89,3.76
235,Esperance,AU,2021-02-04 00:03:04,-33.8667,121.9,60.8,51,40,19.57
236,Vila Franca Do Campo,PT,2021-02-04 00:04:38,37.7167,-25.4333,51.8,71,40,4.61
237,Awbari,LY,2021-02-04 00:05:13,26.5921,12.7805,48.83,53,0,2.86
238,Thunder Bay,CA,2021-02-04 00:05:14,48.4001,-89.3168,30.2,80,75,5.75
239,Lorengau,PG,2021-02-04 00:05:14,-2.0226,147.2712,83.39,69,67,1.5
240,Leninskoye,KZ,2021-02-04 00:05:15,41.7589,69.3864,37.4,60,0,4.61
241,Bintulu,MY,2021-02-04 00:05:16,3.1667,113.0333,75.2,100,40,6.2
242,Lata,PT,2021-02-04 00:05:16,40.1629,-8.3327,54.0,88,47,1.01
