City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Georgetown,MY,few clouds,5.4112,100.3354,84.99,83,20,3.44
187,Hofn,IS,overcast clouds,64.2539,-15.2082,36.59,83,100,17.83
188,Virginia Beach,US,mist,36.8529,-75.978,42.8,81,90,33.38
189,Soyo,AO,overcast clouds,-6.1349,12.3689,81.48,81,100,9.51
190,Great Falls,US,light snow,47.5002,-111.3008,-9.0,70,90,4.61
191,Salinopolis,BR,broken clouds,-0.6136,-47.3561,81.63,82,58,11.27
192,Cabo San Lucas,MX,scattered clouds,22.8909,-109.9124,68.0,72,40,3.44
193,Saint-Joseph,RE,light rain,-21.3667,55.6167,80.6,78,75,5.75
194,Chakrata,IN,clear sky,30.7,77.85,39.56,71,0,4.79
195,Benguela,AO,overcast clouds,-12.5763,13.4055,78.39,70,100,7.02
196,Windhoek,NA,few clouds,-22.5594,17.0832,86.0,21,18,10.36
197,Chuy,UY,clear sky,-33.6971,-53.4616,76.84,59,1,7.76
198,Itaqui,BR,clear sky,-29.1253,-56.5531,86.83,35,0,10.27
199,Mayumba,GA,moderate rain,-3.432,10.6554,81.16,83,81,7.58
200,Puquio,PE,light rain,-14.7,-74.1333,61.52,55,94,9.98
201,Constitucion,CL,broken clouds,-35.3333,-72.4167,67.8,64,80,6.55
202,Jizan,SA,clear sky,17.3333,42.6667,78.8,61,0,8.05
203,Bengkulu,ID,light rain,-3.8004,102.2655,76.78,85,100,5.55
204,Diamantino,BR,scattered clouds,-14.4086,-56.4461,87.49,47,40,4.72
205,Yurty,RU,broken clouds,56.0498,97.6348,23.13,94,59,5.99
206,Vila Velha,BR,mist,-20.3297,-40.2925,70.0,100,90,2.3
207,Sibu,MY,light rain,2.3,111.8167,75.2,100,40,0.38
208,Antofagasta,CL,clear sky,-23.65,-70.4,75.0,53,0,11.5
209,Tual,ID,overcast clouds,-5.6667,132.75,83.7,78,100,18.28
210,Ushtobe,KZ,overcast clouds,45.2514,77.9838,33.3,94,99,7.81
211,Madimba,TZ,scattered clouds,-10.4,40.3333,82.4,83,40,11.5
212,Amapa,BR,broken clouds,1.0,-52.0,81.59,88,80,2.55
213,Kahului,US,few clouds,20.8947,-156.47,64.0,77,20,4.61
214,Saskylakh,RU,scattered clouds,71.9167,114.0833,-38.13,78,27,11.86
215,Carnarvon,AU,few clouds,-24.8667,113.6333,78.8,100,12,12.66
216,Pringsewu,ID,moderate rain,-5.3582,104.9744,73.98,93,100,3.65
